Capture-Date,Name,Record,Height,Weight(lbs),Reach,Stance,DOB,Sig. Strikes Landed,Sig. Strikes Accuracy,Sig. Strikes Absorbed,Sig. Strike Defence,Take Down Averge,Take Down Accuracy,Take Down Defense,Submission Averge,
2020-06-25 23:30:07.675190,John Allan,13-5-0 (1 NC),6-3,205,75,Orthodox,Feb 22 1993,3.59,48%,4.39,51%,2.54,66%,57%,1.9,
2020-06-25 23:30:07.943426,George Allen,13-19-2,6-2,205,,Open Stance,Jan 13 1967,0.80,38%,3.10,43%,0.00,0%,50%,0.0,
2020-06-25 23:30:08.209860,Arnold Allen,16-1-0,5-8,145,70,Southpaw,Jan 22 1994,3.19,41%,2.00,67%,1.36,52%,76%,0.5,
2020-06-25 23:30:08.522778,Brendan Allen,14-3-0,6-2,185,75,Orthodox,Dec 28 1995,2.62,59%,2.80,30%,2.68,37%,75%,4.5,
2020-06-25 23:30:08.760828,Ben Alloway,18-8-0,5-11,170,76,Orthodox,Feb 19 1981,1.28,49%,1.90,59%,0.62,50%,26%,0.0,
2020-06-25 23:30:08.998863,Ricardo Almeida,13-5-0,6-0,170,74,Orthodox,Nov 29 1976,2.02,49%,1.20,61%,3.74,38%,31%,1.2,
2020-06-25 23:30:09.373782,Magno Almeida,10-3-0 (1 NC),6-0,155,,,Jun 06 1985,1.67,36%,2.60,41%,0.00,0%,40%,5.0,
2020-06-25 23:30:09.611816,Thomas Almeida,22-3-0,5-7,135,70,Southpaw,Jul 31 1991,5.66,45%,4.65,64%,0.00,0%,75%,0.0,
2020-06-25 23:30:09.919674,Ericka Almeida,7-3-0,5-6,115,,Orthodox,Mar 05 1989,1.07,39%,3.33,43%,0.50,33%,37%,0.0,
2020-06-25 23:30:10.201522,Estefani Almeida,7-3-0,5-4,125,,Orthodox,Oct 17 1988,3.13,37%,6.07,42%,0.00,0%,0%,0.0,
2020-06-25 23:30:10.419181,Mauricio Alonso,13-7-0 (1 NC),6-2,170,,,Feb 27 1980,5.74,34%,1.91,67%,0.00,0%,0%,0.0,
2020-06-25 23:30:10.683309,Sarah Alpar,8-4-0,5-4,135,,Southpaw,Jun 01 1991,4.42,61%,3.79,40%,3.79,66%,100%,1.9,
2020-06-25 23:30:10.909233,Rico Altamirano,4-3-0,5-10,170,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:11.158623,Mike Altman,1-4-0,5-10,185,,Orthodox,,1.56,20%,2.08,75%,0.00,0%,0%,0.0,
2020-06-25 23:30:11.443292,Sean Alvarez,4-3-0,6-0,235,,Orthodox,Jul 14 1971,0.89,37%,3.25,47%,0.00,0%,0%,0.0,
2020-06-25 23:30:11.702300,Eddie Alvarez,29-6-0 (1 NC),5-9,155,69,Orthodox,Jan 11 1984,4.32,41%,4.39,55%,2.92,36%,92%,0.5,
2020-06-25 23:30:12.041664,Jaime Alvarez,6-1-0,5-8,125,69,Orthodox,Mar 08 1988,2.73,40%,4.53,56%,1.00,33%,50%,0.0,
2020-06-25 23:30:12.347888,Joel Alvarez,16-2-0,6-3,155,77,Orthodox,Mar 02 1994,2.55,33%,3.44,54%,0.00,0%,0%,0.0,
2020-06-25 23:30:12.623479,Thiago Alves,23-15-0,5-9,170,70,Orthodox,Oct 03 1983,3.73,41%,3.42,62%,0.71,60%,63%,0.3,
2020-06-25 23:30:13.101137,Anthony Alves,1-4-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:13.347991,Amilcar Alves,15-12-0,6-0,170,,Southpaw,Aug 08 1988,0.50,46%,2.02,30%,0.00,0%,53%,0.0,
2020-06-25 23:30:13.608020,Warlley Alves,14-4-0,5-11,170,72,Orthodox,Jan 04 1991,3.01,46%,3.69,50%,1.39,52%,75%,1.0,
2020-06-25 23:30:13.972343,Sam Alvey,33-14-0 (1 NC),6-2,205,75,Southpaw,May 06 1986,3.11,45%,3.22,55%,0.08,16%,81%,0.1,
2020-06-25 23:30:14.366306,Andre Amado,6-4-1,6-0,154,,Orthodox,,2.27,24%,5.91,63%,0.00,0%,20%,0.0,
2020-06-25 23:30:14.605372,Adlan Amagov,14-2-1,6-2,170,76,Orthodox,Oct 30 1986,3.29,47%,0.82,78%,5.84,56%,100%,0.0,
2020-06-25 23:30:14.902211,Maiara Amanajas dos Santos,7-3-0,5-5,115,,Southpaw,Jul 11 1987,5.53,35%,24.47,33%,0.00,0%,100%,0.0,
2020-06-25 23:30:15.140324,Chris Amarante,2-0-0,,185,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:15.387610,Jimmy Ambriz,17-21-1,6-2,315,,Southpaw,Jan 26 1970,0.83,29%,3.76,40%,3.13,57%,100%,0.8,
2020-06-25 23:30:15.661651,JJ Ambrose,28-7-0 (2 NC),5-10,170,,Orthodox,,3.16,69%,6.32,33%,0.00,0%,50%,0.0,
2020-06-25 23:30:15.902395,Alen Amedovski,8-2-0,5-10,185,74,Orthodox,Apr 06 1988,0.52,28%,3.14,37%,0.00,0%,0%,0.0,
2020-06-25 23:30:16.168591,Makwan Amirkhani,15-4-0,5-10,145,72,Southpaw,Nov 08 1988,1.60,47%,2.77,50%,3.39,34%,57%,1.5,
2020-06-25 23:30:16.465456,Bertrand Amoussou,1-1-0,5-8,190,,Orthodox,,6.75,39%,2.01,83%,0.00,0%,0%,0.0,
2020-06-25 23:30:16.694709,Karl Amoussou,27-7-2,5-11,185,,Orthodox,Nov 21 1985,1.47,34%,2.67,54%,0.00,0%,25%,1.0,
2020-06-25 23:30:16.959325,Eryk Anders,13-5-0,6-1,185,75,Southpaw,Apr 21 1987,3.02,45%,4.18,51%,1.34,34%,80%,0.1,
2020-06-25 23:30:17.319574,Matt Andersen,14-8-1,6-2,230,,Southpaw,May 29 1971,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:17.551672,Andy Anderson,0-1-0,5-6,240,,,Jul 16 1974,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:17.842013,Lowell Anderson,0-1-0,5-6,160,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:18.078315,Corey Anderson,14-5-0,6-3,205,79,Orthodox,Sep 22 1989,4.43,46%,2.22,59%,4.89,50%,83%,0.0,
2020-06-25 23:30:18.426063,Derek Anderson,14-3-0 (1 NC),6-0,155,,,Feb 02 1990,3.97,37%,3.08,61%,0.34,14%,60%,0.0,
2020-06-25 23:30:18.656497,Megan Anderson,11-4-0,6-0,145,72,Orthodox,Feb 11 1990,1.82,46%,2.94,38%,0.56,33%,53%,0.6,
2020-06-25 23:30:18.964737,Alex Andrade,10-5-0,5-11,200,,Orthodox,May 14 1974,0.20,36%,2.60,53%,0.00,0%,25%,0.8,
2020-06-25 23:30:19.219281,Jessica Andrade,20-7-0,5-1,115,62,Orthodox,Sep 25 1991,6.55,51%,5.28,51%,3.21,58%,76%,0.5,
2020-06-25 23:30:19.563066,Viscardi Andrade,19-6-0,5-11,170,75,Orthodox,Mar 08 1984,3.26,42%,2.77,63%,1.93,50%,66%,0.3,
2020-06-25 23:30:19.823133,Jermaine Andre,14-4-0,5-7,200,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:20.073465,Dylan Andrews,18-7-0 (1 NC),6-1,185,74,Switch,Nov 15 1979,2.21,50%,2.72,46%,2.83,50%,57%,0.4,
2020-06-25 23:30:20.406445,Reese Andy,7-3-0,6-0,205,,Orthodox,Mar 31 1973,2.87,50%,3.50,58%,0.67,20%,40%,0.0,
2020-06-25 23:30:20.688372,Julius Anglickas,5-1-0,6-3,205,,Orthodox,Jul 23 1991,4.62,78%,1.86,50%,4.47,50%,60%,1.1,
2020-06-25 23:30:20.926699,Yoji Anjo,0-5-1,5-11,205,,Orthodox,Mar 28 1967,0.00,0%,3.13,25%,0.00,0%,0%,0.0,
2020-06-25 23:30:21.181221,Magomed Ankalaev,13-1-0,6-3,205,75,Orthodox,Jun 02 1992,3.46,56%,1.24,67%,0.68,33%,85%,0.0,
2020-06-25 23:30:21.432969,Nina Ansaroff,10-6-0,5-5,115,64,Orthodox,Dec 03 1985,4.81,47%,3.55,54%,0.29,40%,77%,0.6,
2020-06-25 23:30:21.717204,Gadzhimurad Antigulov,20-6-0,5-11,205,70,Orthodox,Feb 09 1987,2.32,51%,5.92,21%,8.70,41%,0%,3.5,
2020-06-25 23:30:21.968012,Adam Antolin,12-3-0,5-5,125,63,Orthodox,Feb 28 1982,5.73,52%,5.00,69%,0.00,0%,100%,0.0,
2020-06-25 23:30:22.229876,Angelo Antonio,1-4-0,,205,,Orthodox,,1.09,50%,7.64,50%,0.00,0%,0%,0.0,
2020-06-25 23:30:22.455721,Azunna Anyanwu,14-5-0,6-1,251,,Orthodox,Aug 05 1981,2.47,42%,2.47,69%,0.65,100%,0%,0.0,
2020-06-25 23:30:22.710994,Shinsho Anzai,10-3-0,5-7,170,70,Orthodox,Dec 01 1985,3.23,58%,3.75,45%,1.83,16%,75%,0.0,
2020-06-25 23:30:22.961596,Shinya Aoki,39-7-0 (1 NC),5-11,154,,Southpaw,May 09 1983,0.97,58%,1.25,58%,2.54,41%,60%,4.0,
2020-06-25 23:30:23.437339,Josh Appelt,15-7-0,5-10,255,,Southpaw,Jun 19 1983,1.35,40%,11.50,32%,0.00,0%,33%,0.0,
2020-06-25 23:30:23.690729,Erik Apple,10-3-0,6-0,170,,Orthodox,Aug 26 1977,0.00,0%,0.54,81%,0.00,0%,0%,8.1,
2020-06-25 23:30:23.994536,Kenji Arai,15-15-5,5-10,145,,Southpaw,Oct 05 1979,8.79,27%,10.29,39%,0.00,0%,0%,0.0,
2020-06-25 23:30:24.247588,Romie Aram,7-1-0,5-10,170,,Orthodox,Dec 02 1977,1.80,35%,2.83,50%,2.50,62%,83%,0.0,
2020-06-25 23:30:24.541891,Felipe Arantes,18-10-1 (2 NC),5-8,135,73,Orthodox,Feb 09 1988,2.37,45%,2.66,64%,0.93,47%,41%,0.7,
2020-06-25 23:30:24.835930,Igor Araujo,25-9-0 (1 NC),6-1,170,77,Orthodox,Dec 06 1980,1.52,42%,2.86,49%,0.86,15%,22%,0.6,
2020-06-25 23:30:25.184242,Viviane Araujo,8-2-0,5-4,125,68,Orthodox,Nov 21 1986,4.51,47%,5.20,54%,2.57,58%,100%,0.0,
2020-06-25 23:30:25.450550,Julio Arce,16-4-0,5-7,145,70,Southpaw,Oct 27 1989,4.25,36%,2.87,67%,0.58,30%,93%,0.6,
2020-06-25 23:30:25.722714,Art Arciniega,15-7-0,5-8,145,,,Oct 15 1981,1.53,46%,2.73,51%,0.00,0%,50%,1.0,
2020-06-25 23:30:25.980845,Tristan Arenal,7-4-0,,155,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:26.251608,Andrei Arlovski,29-19-0 (2 NC),6-3,240,77,Orthodox,Feb 04 1979,3.54,44%,2.69,59%,0.50,36%,79%,0.3,
2020-06-25 23:30:26.827418,Joey Armstrong,5-2-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:27.142718,Austin Arnett,16-6-0,6-0,145,72,Orthodox,Oct 22 1991,4.52,41%,6.38,62%,0.44,18%,57%,0.2,
2020-06-25 23:30:27.435437,Ricardo Arona,14-5-0,5-11,205,,Orthodox,Jul 17 1978,1.66,48%,1.15,57%,2.41,48%,58%,1.2,
2020-06-25 23:30:27.573525,Chalid Arrab,7-3-0,5-11,205,,Orthodox,May 28 1975,1.56,34%,1.63,56%,3.05,75%,37%,1.0,
2020-06-25 23:30:27.851064,Akbarh Arreola,23-11-1,5-10,155,71,Southpaw,Jan 14 1983,2.32,45%,4.01,56%,1.07,100%,33%,0.4,
2020-06-25 23:30:28.130508,Matt Arroyo,3-3-0,5-10,170,72,Orthodox,Sep 01 1982,1.62,47%,2.01,58%,2.12,36%,100%,5.3,
2020-06-25 23:30:28.416847,Antonio Arroyo,9-3-0,6-3,185,73,Orthodox,Jul 01 1989,3.12,69%,1.87,43%,1.95,41%,44%,0.4,
2020-06-25 23:30:28.673637,Gilles Arsene,1-1-0,5-9,190,,Southpaw,,0.06,10%,2.45,32%,0.00,0%,0%,0.0,
2020-06-25 23:30:28.937458,Veta Arteaga,3-1-0,5-7,125,,,,3.20,36%,1.92,65%,0.00,0%,40%,0.0,
2020-06-25 23:30:29.208428,Cesar Arzamendia,8-3-0,5-11,155,,Orthodox,Jan 31 1991,5.37,45%,5.20,56%,7.32,75%,0%,2.4,
2020-06-25 23:30:29.462685,Teddy Ash,14-5-0,6-1,185,73,Switch,Dec 27 1989,7.27,61%,6.80,28%,0.00,0%,100%,0.0,
2020-06-25 23:30:29.694031,Askar Askarov,11-0-1,5-6,125,67,Orthodox,Oct 09 1992,3.43,48%,2.70,58%,2.00,22%,66%,0.0,
2020-06-25 23:30:29.961777,Cyril Asker,9-4-0,6-0,247,74,Orthodox,Dec 24 1985,3.35,39%,5.82,35%,4.41,62%,100%,0.9,
2020-06-25 23:30:30.293778,Scott Askham,14-4-0,6-3,185,75,Southpaw,May 20 1988,3.03,46%,3.52,52%,0.44,18%,65%,0.7,
2020-06-25 23:30:30.595898,Ben Askren,19-2-0 (1 NC),5-11,170,73,Orthodox,Jul 18 1984,3.64,49%,5.66,36%,4.33,55%,0%,0.9,
2020-06-25 23:30:30.907485,Tom Aspinall,7-2-0,6-5,256,,Orthodox,Apr 11 1993,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:31.123193,Bruno Assis,8-4-0,6-2,185,,Orthodox,May 23 1992,1.27,43%,3.20,36%,2.00,50%,66%,1.0,
2020-06-25 23:30:31.414384,Junior Assuncao,16-6-0,5-9,145,72,Orthodox,Jun 24 1981,3.31,62%,2.06,44%,2.43,24%,66%,0.7,
2020-06-25 23:30:31.674176,Raphael Assuncao,27-8-0,5-5,135,66,Orthodox,Jul 19 1982,3.26,40%,2.33,68%,1.48,38%,80%,0.3,
2020-06-25 23:30:32.067424,Bazigit Atajev,17-1-0,6-1,230,,Orthodox,,0.87,41%,3.14,49%,1.00,33%,0%,0.0,
2020-06-25 23:30:32.340206,Rich Attonito,10-5-0,5-10,170,72,Orthodox,Jun 16 1977,2.28,47%,2.13,59%,0.74,37%,75%,0.0,
2020-06-25 23:30:32.597205,Olivier Aubin-Mercier,11-5-0,5-9,155,70,Southpaw,Feb 23 1989,2.48,51%,2.97,55%,2.36,33%,70%,0.5,
2020-06-25 23:30:32.908775,Pat Audinwood,11-2-1,6-0,155,,Orthodox,Apr 16 1986,1.17,12%,4.31,41%,0.80,50%,0%,0.0,
2020-06-25 23:30:33.166358,Marcus Aurelio,22-10-0,5-10,155,74,Orthodox,Aug 18 1973,1.42,33%,2.27,59%,1.69,27%,27%,1.3,
2020-06-25 23:30:33.506784,David Avellan,2-1-0,5-9,185,,Orthodox,,3.33,25%,10.00,57%,0.00,0%,0%,0.0,
2020-06-25 23:30:33.765634,Blas Avena,8-7-0 (1 NC),6-0,170,74,Orthodox,Jun 30 1983,2.34,47%,3.36,43%,2.37,80%,50%,1.8,
2020-06-25 23:30:34.039506,Levi Avera,18-15-0,6-1,170,,,May 17 1982,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:34.295095,Anthony Avila,13-5-0,5-7,145,,,Dec 29 1988,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:34.558165,Chris Avila,5-4-0,5-10,145,,Orthodox,Jan 16 1993,2.37,30%,4.17,48%,0.00,0%,46%,0.0,
2020-06-25 23:30:34.798142,Julia Avila,8-1-0,5-7,135,68,Orthodox,May 11 1988,3.90,42%,2.28,59%,0.00,0%,66%,0.0,
2020-06-25 23:30:35.069874,Saad Awad,20-9-0,5-11,155,,,Jun 07 1983,2.13,26%,1.87,60%,0.50,16%,100%,0.5,
2020-06-25 23:30:35.338471,Javy Ayala,10-5-0,6-1,265,,,Aug 20 1988,0.83,25%,5.00,33%,0.00,0%,0%,0.0,
2020-06-25 23:30:35.591995,Jessin Ayari,16-5-0,6-0,155,73,Orthodox,May 31 1992,3.58,38%,3.40,59%,0.00,0%,33%,0.3,
2020-06-25 23:30:35.887368,Abu Azaitar,14-1-1 (1 NC),5-9,185,76,Orthodox,Mar 10 1986,3.20,37%,1.27,57%,1.00,100%,25%,0.0,
2020-06-25 23:30:36.141643,Ottman Azaitar,12-0-0,5-8,155,71,Switch,Feb 20 1990,7.61,50%,2.25,57%,0.00,0%,100%,0.0,
2020-06-25 23:30:36.395393,Luiz Azeredo,15-10-0,5-9,154,,Orthodox,Jun 10 1976,2.16,39%,2.76,57%,1.07,50%,45%,0.3,
2020-06-25 23:30:36.755898,Luciano Azevedo,17-9-1,6-3,161,,Orthodox,Jun 25 1981,0.76,45%,1.97,27%,2.28,11%,0%,0.0,
2020-06-25 23:30:36.991664,Hunter Azure,8-1-0,5-8,145,69,Orthodox,Mar 02 1992,4.71,49%,1.97,63%,1.55,33%,81%,1.9,
2020-06-25 23:30:37.234983,Niklas Backstrom,11-3-0 (1 NC),6-1,145,,Orthodox,Aug 22 1989,1.12,41%,3.65,40%,2.92,80%,72%,2.2,
2020-06-25 23:30:37.471777,Seth Baczynski,20-14-0,6-3,170,75,Orthodox,Oct 26 1981,3.08,31%,3.14,51%,0.89,16%,48%,0.8,
2020-06-25 23:30:37.816305,Ryan Bader,23-5-0,6-2,205,74,Orthodox,Jun 07 1983,2.82,43%,1.39,71%,3.37,44%,80%,0.4,
2020-06-25 23:30:38.216195,Izabela Badurek,6-3-0,5-5,115,,Orthodox,Jul 11 1991,3.74,71%,4.90,32%,1.75,12%,100%,0.0,
2020-06-25 23:30:38.449527,Miguel Baeza,9-0-0,6-2,170,74,Orthodox,Aug 23 1992,4.78,56%,4.67,44%,0.54,33%,100%,1.1,
